순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
53,해빙,2017-03-01,"9,905,406,822",0.6%,"1,204,600",915,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
54,라라랜드,2016-12-07,"9,822,110,162",0.6%,"1,185,287",727,미국,미국,판씨네마(주)
55,하루,2017-06-15,"9,072,737,842",0.5%,"1,129,609",781,한국,한국,CGV아트하우스
56,지오스톰,2017-10-19,"8,480,864,614",0.5%,"1,028,384",854,미국,미국,워너브러더스 코리아(주)
57,스타워즈: 라스트 제다이,2017-12-14,"8,535,886,061",0.5%,"946,547","1,107",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
58,불한당: 나쁜 놈들의 세상,2017-05-17,"7,587,004,625",0.4%,"939,535",860,한국,한국,씨제이이앤엠(주)
59,그것,2017-09-06,"7,335,022,607",0.4%,"888,836",837,미국,미국,워너브러더스 코리아(주)
60,오리엔트 특급 살인,2017-11-29,"6,636,205,163",0.4%,"863,567",707,미국,미국,이십세기폭스코리아(주)
61,대립군,2017-05-31,"6,276,963,402",0.4%,"837,500",809,한국,한국,이십세기폭스코리아(주)
62,베이비 드라이버,2017-09-14,"6,698,892,214",0.4%,"822,656",778,영국,영국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
63,위대한 쇼맨,2017-12-20,"6,657,039,200",0.4%,"814,587",702,미국,미국,이십세기폭스코리아(주)
64,뽀로로 극장판 공룡섬 대모험,2017-12-07,"5,848,888,600",0.3%,"773,743",803,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
65,레지던트 이블: 파멸의 날,2017-01-25,"6,422,202,365",0.4%,"765,259",599,미국,"미국,독일,호주,캐나다,프랑스",유니버설픽쳐스인터내셔널 코리아(유)
66,공각기동대 : 고스트 인 더 쉘,2017-03-29,"6,285,970,884",0.4%,"764,072",807,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
67,트롤,2017-02-16,"5,011,161,500",0.3%,"675,966",622,미국,미국,씨제이이앤엠(주)
68,패신저스,2017-01-04,"5,467,466,918",0.3%,"668,576",608,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
69,씽,2016-12-21,"5,061,667,600",0.3%,"667,513",795,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
70,아빠는 딸,2017-04-12,"5,051,730,395",0.3%,"646,924",520,한국,한국,메가박스중앙(주)플러스엠
71,컨택트,2017-02-02,"5,214,551,521",0.3%,"634,150",605,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
72,47 미터,2017-07-19,"4,686,022,657",0.3%,"590,036",733,영국,영국,씨네그루(주)키다리이엔티
73,메리와 마녀의 꽃,2017-12-07,"4,064,280,239",0.2%,"535,331",751,일본,일본,CGV아트하우스
74,얼라이드,2017-01-11,"4,278,041,179",0.2%,"518,886",546,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
75,발레리안: 천 개 행성의 도시,2017-08-30,"4,047,756,408",0.2%,"511,931",629,프랑스,프랑스,판씨네마(주)
76,그레이트 월,2017-02-15,"4,355,441,358",0.2%,"501,486",598,미국,"미국,중국",유니버설픽쳐스인터내셔널 코리아(유)
77,침묵,2017-11-02,"3,930,219,264",0.2%,"494,097",634,한국,한국,씨제이이앤엠(주)
78,카3: 새로운 도전,2017-07-13,"3,599,544,501",0.2%,"487,916",800,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
79,트리플 엑스 리턴즈,2017-02-08,"3,967,335,095",0.2%,"475,309",590,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
80,리얼,2017-06-28,"3,357,312,530",0.2%,"470,105",970,한국,한국,씨제이이앤엠(주)
81,너의 췌장을 먹고 싶어,2017-10-25,"3,703,660,800",0.2%,"465,265",218,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
82,라이프,2017-04-05,"3,791,748,210",0.2%,"459,984",647,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
83,명탐정 코난:진홍의 연가,2017-08-02,"3,268,917,200",0.2%,"450,043",582,일본,일본,씨제이이앤엠(주)
84,히든 피겨스,2017-03-23,"3,580,767,033",0.2%,"449,518",448,미국,미국,이십세기폭스코리아(주)
85,반드시 잡는다,2017-11-29,"3,326,439,772",0.2%,"446,780",565,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
86,원라인,2017-03-29,"3,316,504,433",0.2%,"434,777",613,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
87,터닝메카드W: 블랙미러의 부활,2017-01-18,"3,213,263,000",0.2%,"429,569",570,한국,한국,씨네그루(주)키다리이엔티
88,스머프: 비밀의 숲,2017-04-28,"3,122,661,000",0.2%,"427,764",607,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
89,로그 원: 스타워즈 스토리,2016-12-28,"3,920,458,500",0.2%,"422,822",907,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
90,킹 아서: 제왕의 검,2017-05-17,"3,373,678,655",0.2%,"415,714",588,영국,"영국,호주,미국",워너브러더스 코리아(주)
91,극장판 포켓몬스터 너로 정했다!,2017-12-21,"3,117,529,700",0.2%,"415,255",626,일본,일본,(주)이수C&E
92,넛잡 2,2017-10-03,"3,069,388,100",0.2%,"411,787",526,한국,"한국,캐나다,중국",롯데쇼핑㈜롯데엔터테인먼트
93,아메리칸 메이드,2017-09-14,"3,175,539,145",0.2%,"401,541",691,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
94,러빙 빈센트,2017-11-09,"3,061,456,861",0.2%,"384,540",272,영국,"영국,폴란드",판씨네마(주)
95,보통사람,2017-03-23,"2,956,397,623",0.2%,"383,336",621,한국,한국,오퍼스픽쳐스(유)
96,대장 김창수,2017-10-19,"2,879,121,115",0.2%,"381,483",748,한국,한국,"씨네그루(주)키다리이엔티,주식회사 키위컴퍼니"
97,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,"2,694,247,700",0.2%,"366,442",526,러시아,러시아,(주)이수C&E
98,어쌔신 크리드,2017-01-11,"2,899,784,921",0.2%,"355,913",566,미국,"미국,영국,프랑스",이십세기폭스코리아(주)
99,플립,2017-07-12,"2,818,791,900",0.2%,"354,601",249,미국,미국,(주)팝엔터테인먼트
