,관객 평점,전문가 평점,동영상,등급,상영 시간,제작 국가,관객수,개봉계절_봄,개봉계절_여름,개봉계절_가을,개봉계절_겨울,요일,장르_SF,장르_공포,장르_느와르,장르_다큐멘터리,장르_드라마,장르_멜로/로맨스,장르_모험,장르_뮤지컬,장르_미스터리,장르_범죄,장르_블랙코미디,장르_서스펜스,장르_스릴러,장르_애니메이션,장르_액션,장르_코미디,장르_판타지
120,7.41,2.25,5,18,118.0,0,189620.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,9.21,6.00,6,15,139.0,0,177601.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,8.06,7.89,8,15,111.0,0,177483.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
123,8.73,5.00,9,12,114.0,1,177428.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,8.83,6.00,5,12,110.0,0,175518.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,7.69,4.00,7,0,113.0,0,172414.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126,8.85,6.00,5,0,101.0,0,167052.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127,7.24,6.20,8,18,146.0,0,159948.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
128,7.89,6.43,4,18,114.0,0,155368.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,8.43,4.00,6,0,101.0,0,154966.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,5.97,3.25,11,15,117.0,1,149719.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131,8.53,6.67,10,0,106.0,0,148760.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
